company,year,metric,value,source,comments,answer_url,item_url
Next PLC,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Next_PLC.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Next_PLC+2025.json
Gianni Versace S.r.l.,2025,Clean Clothes Campaign+Supply Chain Transparency Score,2.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Gianni_Versace_S_r_l.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Gianni_Versace_S_r_l+2025.json
Dolce & Gabbana,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Dolce_Gabbana.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Dolce_Gabbana+2025.json
Balenciaga,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Balenciaga.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Balenciaga+2025.json
Belle International Holdings,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Belle_International_Holdings.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Belle_International_Holdings+2025.json
Bottega Veneta,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Bottega_Veneta.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Bottega_Veneta+2025.json
Saint Laurent,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Saint_Laurent.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Saint_Laurent+2025.json
Dick's Sporting Goods,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Dick_s_Sporting_Goods.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Dick_s_Sporting_Goods+2025.json
Kesko Corporation,2025,Clean Clothes Campaign+Supply Chain Transparency Score,5.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Kesko_Corporation.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Kesko_Corporation+2025.json
Chloe,2025,Clean Clothes Campaign+Supply Chain Transparency Score,5.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Chloe.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Chloe+2025.json
