company,year,metric,value,source,comments,answer_url,item_url
FNG International NV,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:46 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+FNG_International_NV.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+FNG_International_NV+2019.json
Bel&Bo,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Bel_Bo.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Bel_Bo+2019.json
Bel-Confect,2019,Clean Clothes Campaign+Living Wage Action Plan,Yes,Source-000091807,"has published a time-bound, public action plan describing how it will achieve a living wage for workers in its supply chain. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:28 UTC",https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Bel_Confect.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Bel_Confect+2019.json
Engelbert Strauss,2019,Clean Clothes Campaign+Living Wage Action Plan,No,"Source-000091807
Source-000097890",https://api.fairwear.org/wp-content/uploads/2019/04/engelbert-strauss-gmbh-co-kg-performance-check-2018.pdf Laureen van Breen[https://wikirate.org/Laureen_van_Breen].....2020-04-10 18:40:06 UTC has no public plan describing how to improve wages for workers across its supplier network. https://api.fairwear.org/wp-content/uploads/2019/04/engelbert-strauss-gmbh-co-kg-performance-check-2018.pdf Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:50 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Engelbert_Strauss.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Engelbert_Strauss+2019.json
Kings Of Indigo,2019,Clean Clothes Campaign+Living Wage Action Plan,Yes,"Source-000091807
Source-000088725","https://cdn.shopify.com/s/files/1/0060/4553/2275/files/AGT_report_2019.pdf, page 78. Laureen van Breen[https://wikirate.org/Laureen_van_Breen].....2020-04-10 18:40:20 UTC has published a time-bound, public action plan describing how it will achieve a living wage for workers in its supply chain. https://cdn.shopify.com/s/files/1/0060/4553/2275/files/AGT_report_2019.pdf, page 78. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:35:22 UTC",https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Kings_Of_Indigo.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Kings_Of_Indigo+2019.json
Cassis / Paprika S.A.,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:43 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Cassis_Paprika_S_A.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Cassis_Paprika_S_A+2019.json
Calzedonia,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:40 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Calzedonia.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Calzedonia+2019.json
Tom Tailor,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:36:26 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Tom_Tailor.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Tom_Tailor+2019.json
Kuyichi,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:35:24 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Kuyichi.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Kuyichi+2019.json
Scotch and Soda,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:36:14 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Scotch_and_Soda.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Scotch_and_Soda+2019.json
Peek & Cloppenburg,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:35:57 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Peek_Cloppenburg.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Peek_Cloppenburg+2019.json
Tokmanni,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:36:24 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Tokmanni.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Tokmanni+2019.json
Alsico Group,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:15 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Alsico_Group.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Alsico_Group+2019.json
ECG nv,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:49 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+ECG_nv.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+ECG_nv+2019.json
Oberalp SpA,2019,Clean Clothes Campaign+Living Wage Action Plan,Partial,"Source-000091807
Source-000097897","Social report 2018 p.32, https://www.salewa.com/it-it/acquisto-etico-di-beni Laureen van Breen[https://wikirate.org/Laureen_van_Breen].....2020-04-10 18:37:21 UTC says it is working on improving wages for workers across its supplier network. However, it does not meet all elements of a public, time-bound action plan. Social report 2018 p.32, https://www.salewa.com/it-it/acquisto-etico-di-beni Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:36:11 UTC",https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Oberalp_SpA.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Oberalp_SpA+2019.json
NP Fashion,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:35:50 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+NP_Fashion.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+NP_Fashion+2019.json
OVS SpA,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:35:54 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+OVS_SpA.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+OVS_SpA+2019.json
The Cotton Group SA,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:24 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+The_Cotton_Group_SA.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+The_Cotton_Group_SA+2019.json
Retail Concepts SA,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:11 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Retail_Concepts_SA.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Retail_Concepts_SA+2019.json
Falc SpA,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:56 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Falc_SpA.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Falc_SpA+2019.json
Javanne SA,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:35:15 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Javanne_SA.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Javanne_SA+2019.json
Luhta Sportswear Company,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:35:36 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Luhta_Sportswear_Company.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Luhta_Sportswear_Company+2019.json
